id,title,url,category
1.01,1.01 "Introduction,https://www.southflorida.edu/policies/general-principles-2/general-principles-2,General Principles
1.02,1.02 "Vision, Mission, and Institutional Core Values,https://www.southflorida.edu/policies/general-principles-2/general-principles-1-02-vision-mission-core-values,General Principles
1.03,1.03 "Accreditation,https://www.southflorida.edu/policies/general-principles-2/general-principles-1-03-accreditation,General Principles
1.04,1.04 "Definitions,https://www.southflorida.edu/policies/general-principles-2/general-principles-1-04-definitions,General Principles
1.05,1.05 "Compliance with Policies,https://www.southflorida.edu/policies/general-principles-2/general-principles-1-05-compliance-policies,General Principles
1.06,1.06 "Conflict of Interest,https://www.southflorida.edu/policies/general-principles-2/general-principles-1-06-conflict-interest,General Principles
1.07,1.07 "Alcohol and Drug-Free Campus and Workplace,https://www.southflorida.edu/policies/general-principles-2/general-principles-1-07-alcohol-drug-free-campus-workplace,General Principles
1.08,1.08 "Life-Threatening Illnesses,https://www.southflorida.edu/policies/general-principles-2/general-principles-1-08-life-threatening-illness,General Principles
1.09,1.09 "Grievance Procedures,https://www.southflorida.edu/policies/general-principles-2/general-principles-1-09-grievance-procedures,General Principles
1.10,1.10 "Equal Opportunity,https://www.southflorida.edu/policies/general-principles-2/general-principles-1-10-equal-opportunity,General Principles
1.11,1.11 "Flag Display,https://www.southflorida.edu/policies/general-principles-2/general-principles-1-11-flag-display,General Principles
1.12,1.12 "Political Activities of Employees,https://www.southflorida.edu/policies/general-principles-2/general-principles-1-12-political-activities-employees,General Principles
1.13,1.13 "Political Activity on Campus,https://www.southflorida.edu/policies/general-principles-2/general-principles-1-13-political-activity-campus,General Principles
1.14,1.14 "Copyright Law Compliance,https://www.southflorida.edu/policies/general-principles-2/general-principles-1-14-copyright,General Principles
1.15,1.15 "Bonds for District Board Members, College Employees, and Contractors,https://www.southflorida.edu/policies/general-principles-2/general-principles-1-16-bonds-district-board-members-college-employees-contractors,General Principles
1.16,1.16 "Intellectual Property,https://www.southflorida.edu/policies/general-principles-2/general-principles-1-16-intellectual-property,General Principles
1.17,1.17 "Tobacco-Free College,https://www.southflorida.edu/wp-content/uploads/2023/09/1.17-Tobacco-Free-College.pdf,General Principles
1.18,1.18 "Substance Abuse Testing,https://www.southflorida.edu/policies/general-principles-2/general-principles-1-18-substance-abuse-testing,General Principles
2.01,2.01 "Organization – State Level,https://www.southflorida.edu/policies/organization-governance/organization-governance-state-level-2-01-organization-state-level,Organization – State Level
2.02,2.02 "South Florida State College District Board of Trustees,https://www.southflorida.edu/policies/organization-governance/organization-governance-2-02-sfsc-district-board-trustees,Board of Trustees
2.03,2.03 "South Florida State College Governance Structure and Organization,https://www.southflorida.edu/policies/organization-governance/organization-governance-2-03-sfsc-governance-structure-organization,Board of Trustees
2.04,2.04 "Adoption of South Florida State College Policies and Procedures,https://www.southflorida.edu/policies/organization-governance/organization-governance-2-04-adoption-sfsc-policies-procedures,Board of Trustees
2.05,2.05 "Signing Authority,https://www.southflorida.edu/policies/organization-governance/organization-governance-2-05-signing-authority,Board of Trustees
2.06,2.06 "General Powers, Duties, and Responsibilities of the President,https://www.southflorida.edu/policies/organization-governance/organization-governance-2-06-general-powers-duties-responsibilities-president,"General Powers, Duties, and Responsibilities of the President"
2.07,2.07 "Property,https://www.southflorida.edu/policies/organization-governance/organization-governance-2-07-property,"General Powers, Duties, and Responsibilities of the President"
2.08,2.08 "Check and Electronic Funds Transfer Procedure,https://www.southflorida.edu/policies/organization-governance/organization-governance-2-08-check-electronic-funds-transfer-procedure,"General Powers, Duties, and Responsibilities of the President"
2.09,2.09 "College Publications,https://www.southflorida.edu/policies/organization-governance/organization-governance-college-publications,"General Powers, Duties, and Responsibilities of the President"
2.10,2.10 "Release of Information to the Public,https://www.southflorida.edu/policies/organization-governance/organization-governance-2-10-release-information-public,"General Powers, Duties, and Responsibilities of the President"
2.11,2.11 "Advertisements Posted on Bulletin Boards and Distribution of Signs, Handbills, and Advertising,http://www.southflorida.edu/wp-content/uploads/2014/11/2.11-Advertisements-Posted-on-the-Bulletin-Boards-and-Distribution-of-Signs-Handbills-and-Advertising.pdf,"General Powers, Duties, and Responsibilities of the President"
2.12,2.12 "Solicitations,https://www.southflorida.edu/policies/organization-governance/organization-governance-2-12-solicitations,"General Powers, Duties, and Responsibilities of the President"
2.13,2.13 "Public Speakers and Invited Resource Personnel,https://www.southflorida.edu/policies/organization-governance/organization-governance-2-13-public-speakers-invited-resource-personal,"General Powers, Duties, and Responsibilities of the President"
2.14,2.14 "Forms Manual,https://www.southflorida.edu/policies/organization-governance/organization-governance-2-14-forms-manual,"General Powers, Duties, and Responsibilities of the President"
2.15,2.15 "Safekeeping, Reproduction, and Destruction of Records,https://www.southflorida.edu/policies/organization-governance/organization-governance-2-15-safekeeping-reproduction-destruction-records,"General Powers, Duties, and Responsibilities of the President"
2.16,2.16 "College Seal and Other Official College Symbols,https://www.southflorida.edu/policies/organization-governance/organization-governance-2-16-college-seal-official-college-symbols,"General Powers, Duties, and Responsibilities of the President"
2.17,2.17 "College Awards Programs,https://www.southflorida.edu/wp-content/uploads/2025/04/2.17-College-Awards-Programs.pdf,"General Powers, Duties, and Responsibilities of the President"
2.18,2.18 "College Committees,https://www.southflorida.edu/policies/organization-governance/organization-governance-2-18-college-committees,"General Powers, Duties, and Responsibilities of the President"
2.19,2.19 "Complimentary Tickets for College-Sponsored Events,https://www.southflorida.edu/policies/organization-governance/organization-governance-2-19-compliment-tickets-college-sponsored-events,"General Powers, Duties, and Responsibilities of the President"
2.20,2.20 "The Role of Faculty in Governance of the College,https://www.southflorida.edu/policies/organization-governance/organization-governance-role-faculty-governance-college,"General Powers, Duties, and Responsibilities of the President"
2.21,2.21 "Free Expression,http://www.southflorida.edu/wp-content/uploads/2018/05/2.21-Free-Expression.pdf,"General Powers, Duties, and Responsibilities of the President"
2.22,2.22 "Public Records,https://www.southflorida.edu/wp-content/uploads/2023/09/2.22-Public-Records.pdf,"General Powers, Duties, and Responsibilities of the President"
3.01,3.01 "Academic Freedom and Freedom of Expression,https://www.southflorida.edu/policies/education-student-services/education-student-serivces-3-01-academic-freedom-freedom-expression,Curriculum and Instruction
3.02,3.02 "Establishment of Instructional Programs,https://www.southflorida.edu/policies/education-student-services/education-student-services-3-02-establishment-instructional-programs,Curriculum and Instruction
3.03,3.03 "Evaluation of Instructional Programs,https://www.southflorida.edu/policies/education-student-services/education-student-services-3-03-evaluation-instructional-programs,Curriculum and Instruction
3.04,3.04 "Length of Courses,https://www.southflorida.edu/policies/education-student-services/education-student-serivces-3-04-length-courses,Curriculum and Instruction
3.09,3.09 "Course Policy Statement (Syllabus),https://www.southflorida.edu/policies/education-student-services/education-student-services-3-09-course-policy-statement-syllabus,Academic Standards
3.10,3.10 "Academic Progress,https://www.southflorida.edu/policies/education-student-services/education-student-services-3-10-academic-progress,Academic Standards
3.11,3.11 "Evaluation of Transfer and Accelerated Learning Credit,https://www.southflorida.edu/policies/education-student-services/education-student-services-3-11-evaluation-transfer-accelerated-learning-credit,Academic Standards
3.13,3.13 "Dual Enrollment,https://www.southflorida.edu/policies/education-student-services/3-13-dual-enrollment,Student Enrollment
3.14,3.14 "Employee and Student Exchange Programs,https://www.southflorida.edu/policies/education-student-services/3-14-employee-student-exchange-programs,Student Enrollment
3.15,3.15 "Admission to Baccalaureate, Associate, Certificate, Diploma, or Special Courses/Programs,https://www.southflorida.edu/policies/education-student-services/3-15-admission-bas-aa-aas-certificate-special-coursesprograms,Student Enrollment
3.16,3.16 "Admissions of Students,https://www.southflorida.edu/wp-content/uploads/2020/01/3.16-Admissions-of-Students.pdf,Student Enrollment
3.17,3.17 "Student Performance Standards for the Award of the Associate Degree and Baccalaureate Degree,https://www.southflorida.edu/policies/education-student-services/3-17-student-performance-standards-award-associate-degree-baccalaureate-degree,Student Enrollment
3.18,3.18 "Placement Exam Requirements,http://www.southflorida.edu/wp-content/uploads/2015/09/3.18-Placement-Exam-Requirements.pdf,Student Enrollment
3.22,3.22 "Scholarship and Loans,https://www.southflorida.edu/policies/education-student-services/3-22-scholarship-loans,Student Assistance
3.23,3.23 "Student Financial Aid and Fee Waivers,https://www.southflorida.edu/policies/education-student-services/3-23-student-financial-aid-fee-waivers,Student Assistance
3.28,3.28 "Student Activities,https://www.southflorida.edu/policies/education-student-services/3-28-student-activities,Student Extracurricular Activities
3.29,3.29 "Student Publications,https://www.southflorida.edu/policies/education-student-services/3-29-student-publications,Student Extracurricular Activities
3.33,3.33 "Control and Discipline of Students,https://www.southflorida.edu/policies/education-student-services/3-33-control-discipline-students,Student Rights and Responsibilities
3.34,3.34 "Solicitations by Students,https://www.southflorida.edu/policies/education-student-services/3-34-solicitations-students,Student Rights and Responsibilities
3.35,3.35 "Students Borrowing Equipment,https://www.southflorida.edu/policies/education-student-services/3-35-students-borrowing-equipment,Student Rights and Responsibilities
3.36,3.36 "Prohibition of Hazing,https://www.southflorida.edu/policies/education-student-services/3-36-prohibition-hazing,Student Rights and Responsibilities
3.37,3.37 "Religious Observances – Students,https://www.southflorida.edu/policies/education-student-services/3-37-religious-observances-students,Student Rights and Responsibilities
3.38,3.38 "Intercollegiate Student-Athlete Compensation and Rights Development,https://www.southflorida.edu/wp-content/uploads/2021/09/3.38-Intercollegiate-Student-Athlete-Compensation-and-Rights-Development.pdf,Student Rights and Responsibilities
4.01,4.01 "College Insurance,https://www.southflorida.edu/policies/business-fiscal-services/4-01-college-insurance,Business and Fiscal
4.02,4.02 "Budget,https://www.southflorida.edu/policies/business-fiscal-services/4-02-budget,Business and Fiscal
4.03,4.03 "Budget Amendments,https://www.southflorida.edu/policies/business-fiscal-services/4-03-budget-amendments,Business and Fiscal
4.04,4.04 "Purchasing,https://www.southflorida.edu/policies/business-fiscal-services/4-04-purchasing,Business and Fiscal
4.06,4.06 "Sponsored Research – Testing Projects,https://www.southflorida.edu/policies/business-fiscal-services/4-06-sponsored-research-testing-projects,Business and Fiscal
4.07,4.07 "Salespersons/Company Representatives,https://www.southflorida.edu/policies/business-fiscal-services/4-07-salespersonscompany-representatives,Business and Fiscal
4.08,4.08 "Credit Cards,https://www.southflorida.edu/policies/business-fiscal-services/4-08-credit-cards,Business and Fiscal
4.09,4.09 "Cash Collection,https://www.southflorida.edu/policies/business-fiscal-services/4-09-cash-collection,Business and Fiscal
4.10,4.10 "Safe Deposit Boxes,https://www.southflorida.edu/policies/business-fiscal-services/4-10-safe-deposit-boxes,Business and Fiscal
4.11,4.11 "Student Fees,https://www.southflorida.edu/policies/business-fiscal-services/4-11-student-fees,Business and Fiscal
4.12,4.12 "Outstanding Debts,https://www.southflorida.edu/policies/business-fiscal-services/4-12-bad-checks-outstanding-debts,Business and Fiscal
4.13,4.13 "Refunds,https://www.southflorida.edu/policies/business-fiscal-services/4-13-refunds,Business and Fiscal
4.14,4.14 "Petty Cash and Change Funds,https://www.southflorida.edu/policies/business-fiscal-services/4-14-petty-cash-change-funds,Business and Fiscal
4.15,4.15 "Investment of Surplus Funds,https://www.southflorida.edu/policies/business-fiscal-services/4-15-investment-surplus-funds,Business and Fiscal
4.16,4.16 "Receipt of Donated Property,https://www.southflorida.edu/policies/business-fiscal-services/4-16-receipt-donated-property,Business and Fiscal
4.18,4.18 "Travel and Per Diem,https://www.southflorida.edu/policies/business-fiscal-services/4-18-travel-per-diem,Business and Fiscal
4.19,4.19 "Institutional Members in Professional Organizations,https://www.southflorida.edu/policies/business-fiscal-services/4-19-institutional-members-professional-organizations,Business and Fiscal
4.20,4.20 "Inventory,https://www.southflorida.edu/policies/business-fiscal-services/4-20-inventory,Business and Fiscal
4.21,4.21 "Vehicle Assigned to President,https://www.southflorida.edu/policies/business-fiscal-services/4-21-vehicle-assigned-president,Business and Fiscal
4.22,4.22 "Grants Administration,https://www.southflorida.edu/policies/business-fiscal-services/4-22-grants-administration,Business and Fiscal
4.24,4.24 "Auxiliary Enterprises,https://www.southflorida.edu/policies/business-fiscal-services/4-24-auxiliary-enterprises-2,Auxiliary Services
5.01,5.01 "Staff and Program Development,https://www.southflorida.edu/policies/human-resources/5-01-staff-program-development,Human Resources
5.02,5.02 "Employee Benefits,https://www.southflorida.edu/policies/human-resources/5-02-employee-benefits,Human Resources
5.03,5.03 "Clearance Process,https://www.southflorida.edu/policies/human-resources/5-03-clearance-process,Human Resources
5.04,5.04 "Performance Review,https://www.southflorida.edu/policies/human-resources/5-04-performance-review,Human Resources
5.05,5.05 "Americans with Disabilities Act Compliance,https://www.southflorida.edu/policies/human-resources/5-05-americans-disabilities-act-compliance,Human Resources
5.06,5.06 "Credentials,https://www.southflorida.edu/policies/human-resources/5-06-credentials,Human Resources
5.07,5.07 "Employment Agreements,https://www.southflorida.edu/policies/human-resources/5-07-employment-agreements,Human Resources
5.08,5.08 "Reclassification of Positions,https://www.southflorida.edu/policies/human-resources/5-08-reclassification-positions,Human Resources
5.09,5.09 "Probation,https://www.southflorida.edu/policies/human-resources/5-09-probation,Human Resources
5.10,5.10 "Criteria for Staff Reduction,https://www.southflorida.edu/policies/human-resources/5-10-criteria-staff-reduction,Human Resources
5.11,5.11 "Substitute Personnel,https://www.southflorida.edu/policies/human-resources/5-11-substitute-personnel,Human Resources
5.12,5.12 "Employment of Relatives,https://www.southflorida.edu/policies/human-resources/5-12-employment-relatives,Human Resources
5.13,5.13 "Leaves of Absence,https://www.southflorida.edu/policies/human-resources/5-13-leaves-absence,Human Resources
5.14,5.14 "Salary Schedule and Compensation,https://www.southflorida.edu/policies/human-resources/5-14-salary-schedule-compensation,Human Resources
5.15,5.15 "Payroll Deductions,https://www.southflorida.edu/policies/human-resources/5-15-payroll-deductions,Human Resources
5.16,5.16 "Holiday, Overtime Pay, Compensatory Time, Call-In Pay, and the Minimum Wage,https://www.southflorida.edu/wp-content/uploads/2023/09/5.16-Holiday-Overtime-Pay-Compensatory-Time-Call-In-Pay-and-Min-Wage-1.pdf,Human Resources
5.17,5.17 "Non-College Employment,https://www.southflorida.edu/policies/human-resources/5-17-non-college-employment,Human Resources
5.18,5.18 "Workers’ Compensation,https://www.southflorida.edu/policies/human-resources/5-18-workers-compensation,Human Resources
